cohort_id,field,value,cell_count
GSE315928,sample_id,E33_B,44
GSE315928,sample_id,E33_F1,49
GSE315928,sample_id,E34_B,46
GSE315928,sample_id,E34_F1,831
GSE315928,sample_id,E35_B,429
GSE315928,sample_id,E35_F1,179
GSE315928,sample_id,E35_F2,229
GSE315928,sample_id,E36_B,422
GSE315928,sample_id,E36_F1,448
GSE315928,sample_id,E36_F2,767
GSE315928,sample_id,E37_B,551
GSE315928,sample_id,E37_F1,123
GSE315928,sample_id,E37_F2,514
GSE315928,sample_id,E38_B,1427
GSE315928,sample_id,E38_F1,1168
GSE315928,sample_id,E38_F2,575
GSE315928,sample_id,E39_B,458
GSE315928,sample_id,E39_F1,362
GSE315928,sample_id,E39_F2,2020
GSE315928,sample_id,E40_B,590
GSE315928,sample_id,E40_F1,104
GSE315928,sample_id,E40_F2,1089
GSE315928,sample_id,E41_B,889
GSE315928,sample_id,E41_F1,703
GSE315928,sample_id,E41_F2,1819
GSE315928,sample_id,E42_B,1008
GSE315928,sample_id,E42_F1,260
GSE315928,sample_id,E42_F2,124
GSE315928,sample_id,E43_B,210
GSE315928,sample_id,E43_F1,468
GSE315928,sample_id,E44_B,463
GSE315928,sample_id,E44_F1,310
GSE315928,sample_id,E44_F2,160
GSE315928,sample_id,E45_B,229
GSE315928,sample_id,E45_F1,527
GSE315928,sample_id,E45_F2,71
GSE315928,sample_id,E46_B,144
GSE315928,sample_id,E46_F1,482
GSE315928,sample_id,E46_F2,25
GSE315928,source_accession,GSE315928,66813
GSE315928,source_gse_id,GSE315928,66813
GSE315928,specimen_context,primary_tumor,66813
GSE315928,timepoint,B,20835
GSE315928,timepoint,F1,24342
GSE315928,timepoint,F2,21636
GSE315928,tissue,tumor,66813
GSE315928,tissue_harmonized,tumor,66813
